abbr,STATE,Density,stateGDP,gdpGrowth2018,Airports,Automobiles,Buses,positive,negative,death,totalTestResults,posativeperpop,deathsperpop,deathrate,positiveScore,negativeScore,negativeRegularScore,commercialScore,score
AK,Alaska,1.28627631,54851,-0.3,767,173487,8080,329,10790,9,11119,0.044822766,0.001226155,2.73556231,1,1,1,1,4
AL,Alabama,96.92212459,224654,2,316,2065463,5682,5231,43295,177,48526,0.106567608,0.003605901,3.38367425,1,1,0,1,3
AR,Arkansas,58.40297876,129812,0.9,304,926789,11941,2227,25214,43,27441,0.073280709,0.00141494,1.930848675,1,1,1,1,4
AZ,Arizona,64.95496241,355311,4,298,2391624,9051,5251,49901,208,55152,0.071166284,0.002819003,3.961150257,1,1,0,1,3
CA,California,256.3727396,3018337,3.5,882,14860967,99917,33261,266839,1268,300100,0.083282652,0.003174962,3.812272632,1,1,0,1,3
CO,Colorado,56.40113082,376994,3.5,447,1785058,13305,10106,37360,449,47466,0.172884356,0.007681088,4.442905205,1,1,1,1,4
CT,Connecticut,735.8688558,279653,1,123,1302339,11378,20360,43832,1423,64192,0.571416223,0.039937391,6.989194499,1,1,1,1,4
DE,Delaware,504.3073371,76537,0.3,42,419199,3763,2931,13725,82,16656,0.298200723,0.008342702,2.797679973,1,1,1,1,4
FL,Florida,410.1255944,1059144,3.5,875,7778493,59596,27495,249564,856,277059,0.125017136,0.00389215,3.113293326,1,1,1,1,4
GA,Georgia,186.6718655,601503,2.6,454,3536055,36418,19881,68259,799,88140,0.185179683,0.007442209,4.01891253,1,1,1,1,4
HI,Hawaii,219.9419274,93419,1,46,512386,3033,584,24112,10,24696,0.04133966,0.000707871,1.712328767,1,1,1,1,4
IA,Iowa,56.92838856,192608,1.4,279,1268996,9284,3641,23974,83,27615,0.114502292,0.002610187,2.279593518,1,1,1,1,4
ID,Idaho,22.09692291,78640,4.1,301,550006,3870,1736,15924,48,17660,0.095063072,0.002628472,2.764976959,1,1,1,1,4
IL,Illinois,228.024316,879947,2.1,707,4655844,34359,33059,121938,1468,154997,0.261136101,0.011595868,4.440545691,1,1,1,1,4
IN,Indiana,188.2809691,371629,1.9,518,2261440,20725,12097,55167,630,67264,0.179338253,0.009339762,5.207902786,1,1,1,0,3
KS,Kansas,35.59677834,169558,1.9,372,987259,6228,2025,17076,107,19101,0.069579093,0.003676525,5.283950617,1,1,1,0,3
KY,Kentucky,113.9566429,211621,1.4,263,1691085,10759,3050,29770,154,32820,0.067782417,0.003422456,5.049180328,1,1,1,1,4
LA,Louisiana,107.5174521,255492,1.1,498,1389436,29160,24854,117576,1405,142430,0.535048773,0.03024638,5.653013599,1,1,1,1,4
MA,Massachusetts,894.4355128,575635,2.7,225,2208468,13498,41199,134173,1961,175372,0.590531458,0.02810826,4.759824268,1,1,0,1,3
MD,Maryland,626.6731225,417776,1.6,223,2006904,22972,14193,59442,584,73635,0.233317925,0.009600343,4.114704432,1,1,1,1,4
ME,Maine,43.63356353,65349,1.9,217,387233,4339,888,14076,36,14964,0.065983549,0.002675009,4.054054054,1,1,1,1,4
MI,Michigan,177.6654875,537087,2.7,481,3257473,8737,32967,84259,2700,117226,0.328192183,0.026878967,8.19000819,1,1,0,1,3
MN,Minnesota,71.59218607,374920,2.2,475,2146187,19980,2567,45130,160,47697,0.045029787,0.002806687,6.232956759,1,1,1,1,4
MO,Missouri,89.74527945,323287,2.3,510,2141050,27180,5941,51179,189,57120,0.096299886,0.003063572,3.181282612,1,1,1,1,4
MS,Mississippi,63.70564542,115749,1,235,822864,8018,4716,47648,183,52364,0.157764798,0.006121916,3.880407125,1,1,1,1,4
MT,Montana,7.466773391,49635,0.9,301,441392,4702,437,10804,12,11241,0.040211307,0.001104201,2.745995423,1,1,1,1,4
NC,North Carolina,218.2702291,575605,2.9,486,3317918,32493,6951,76380,213,83331,0.065502171,0.002007188,3.064307294,1,1,1,1,4
ND,North Dakota,11.03930378,55657,2.5,282,276545,3331,644,14343,13,14987,0.084545169,0.001706657,2.01863354,1,1,1,0,3
NE,Nebraska,25.416146,124742,1.5,246,677040,13564,1648,14724,33,16372,0.084401584,0.00169008,2.002427184,1,1,1,1,4
NH,New Hampshire,153.1605049,86046,2.2,186,505381,2871,1491,12848,42,14339,0.108733225,0.003062908,2.816901408,1,1,1,0,3
NJ,New Jersey,1215.199075,634721,2,320,2798699,25097,92387,92439,4753,184826,1.03380781,0.05318593,5.14466321,1,1,1,1,4
NM,New Mexico,17.28503355,101452,1.8,171,609494,6278,1971,36784,58,38755,0.094007555,0.002766331,2.942668696,1,1,1,1,4
NV,Nevada,28.59928403,168752,3.2,139,1047508,3198,3937,29118,163,33055,0.125395823,0.005191648,4.14020828,1,1,1,1,4
NY,New York,412.5210924,1701399,2.1,551,4563035,80446,251690,397635,14828,649325,1.294670412,0.07627388,5.89137431,1,1,1,1,4
OH,Ohio,287.5038301,689139,1.8,660,4605459,41255,13250,80989,557,94239,0.112788093,0.004741356,4.203773585,1,1,0,1,3
OK,Oklahoma,57.65465413,203250,1.8,457,1337624,3155,2807,41537,164,44344,0.070976664,0.004146837,5.842536516,1,1,0,1,3
OR,Oregon,44.80861149,243085,3.4,442,1542461,17691,2002,39126,78,41128,0.046546351,0.001813494,3.896103896,1,1,1,1,4
PA,Pennsylvania,286.5448897,803307,2.1,758,4463267,55935,34528,132323,1564,166851,0.269310729,0.012198853,4.52965709,1,1,1,1,4
RI,Rhode Island,1021.432302,61341,0.6,22,420313,2273,5500,33833,171,39333,0.520753938,0.016190713,3.109090909,1,1,1,0,3
SC,South Carolina,173.3174212,234367,1.6,196,1808401,17728,4439,36838,124,41277,0.085199982,0.002379995,2.793421942,1,1,1,0,3
SD,South Dakota,11.91155637,52544,1.3,185,353180,2614,1755,11060,8,12815,0.194346348,0.000885909,0.455840456,1,1,1,1,4
TN,Tennessee,167.2747908,373663,3,339,2325004,29158,7394,100788,157,108182,0.107197079,0.002276162,2.123343251,1,1,1,1,4
TX,Texas,112.8203857,1818585,3.2,2031,8176879,67143,20196,185203,517,205399,0.068525373,0.00175419,2.559912854,1,1,1,1,4
UT,Utah,39.94298406,180862,4.3,156,925052,6109,3296,69062,32,72358,0.10042305,0.000974981,0.970873786,1,1,1,1,4
VA,Virginia,218.4402887,544348,2.8,431,3251339,34268,9451,48903,324,58354,0.109561479,0.003755996,3.428208655,1,1,1,1,4
VT,Vermont,68.1415862,34154,1.2,89,221936,1070,818,12293,40,13111,0.130242126,0.006368808,4.88997555,1,1,1,1,4
WA,Washington,117.3271789,576624,5.7,538,2925765,23566,12085,128926,652,141011,0.154993623,0.008362089,5.395117915,0,1,0,1,2
WI,Wisconsin,108.0496695,342470,2.5,540,2092584,15567,4620,47841,242,52461,0.078950687,0.004135512,5.238095238,1,1,1,1,4
WV,West Virginia,73.96913221,79168,2.4,125,562984,3342,914,21849,26,22763,0.05140405,0.00146226,2.84463895,1,1,1,0,3
WY,Wyoming,5.840019363,39899,0.3,121,193523,4219,320,7301,6,7621,0.056434901,0.001058154,1.875,1,1,1,1,4
